family,variant,avg(area),avg(bottomLeftY),avg(stddevY),avg(bottomLeftX),avg(advance),avg(topRightX),avg(stddevX),avg(meanX),avg(topRightY),avg(meanY)
Rubik,SemiBold,180443.727613539,22.000044596095233,177.58113841347284,40.38792405652315,552.0038560411311,533.357489862527,133.9145189523137,284.63779142665226,661.9724418902478,335.8470776084109
Heebo,Bold,660772.9863578557,48.87068965517241,342.24604293958964,72.97366312770691,1022.1375358166189,980.1639560897296,242.31376248143732,531.4334244000097,1272.1064020172491,657.4948906437188
Rubik,SemiBoldItalic,180833.5919023138,22.096676057417415,177.69698547608243,20.729251199055106,552.3419023136247,571.8639142554603,140.09279473298943,293.3798486480698,662.2610456553756,336.23392650519503
Heebo,Black,771077.7951186793,44.85057471264368,341.1576903230905,63.069251178879135,1038.9340974212034,1008.6650517261934,248.07777008921695,540.0176302021401,1277.0862860528273,657.4121273015179
Heebo,ExtraBold,680686.5493821631,48.160919540229884,342.01218935879257,71.21046080361405,1025.160458452722,985.2237241795061,243.28469883877017,533.0218291130419,1272.9655974195482,657.4653297814201
Heebo,Thin,152666.11936366276,65.54581587710817,356.0663487681216,106.53729681333931,943.6819484240688,860.2988155671919,229.76124027646063,490.7244188107749,1250.1206896551723,660.6404838347862
Heebo,ExtraLight,224010.28007628283,63.42512771392082,352.2874424451837,103.11143470929612,954.8051575931232,876.0251523636985,230.65244078793927,496.7046216306118,1253.0603448275863,659.1259304280221
Heebo,Regular,434136.51125903346,56.87628145386766,345.92504567755174,92.43446542850359,988.8939828080229,924.1663014141789,233.2471013933824,514.6474173895566,1262.1638757959151,658.7584155773266
Heebo,SemiBold,608630.2782746091,50.73275862068966,342.90600214613033,77.56271095305678,1014.3409742120344,966.998362343435,239.91503819043328,527.5180193112275,1269.7615749629865,657.6222344896624
Heebo,Medium,555646.1407697472,52.643525582341574,343.68985845538964,82.20003396894633,1006.5358166189112,953.8529795808927,237.66304717758962,523.6030582890279,1267.356403095914,657.8653811500842
Heebo,Light,294037.5771600382,61.29007170726563,349.62377713602035,99.69481036132281,966.1031518624642,891.7773554823632,231.31920904913488,502.691268688819,1255.9568965517242,658.5754225647797
